condition,seed,checkpoint_episode,role,source,copied_to,archive,member,bytes,manifest_bytes,size_match,crc32,sha256,loads_ok,internal_episode_count,episode_count_match,gamma,model_state_keys,target_state_keys,architecture_signature,parameter_tensor_elements,support_shape,scaler_mean_shape,scaler_scale_shape,optimizer_state_entries,optimizer_param_groups,role_architecture_expected,max_model_target_abs_diff
0sen,35,100,attacker,Frozen Senior plus CCTF simulation\0sen_seed35\checkpoints_non_comp\attacker\checkpoint_ep100.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed35\ep100\attacker_checkpoint_ep100.pth,0Sen_Seed35_evaluated_Checkpoints(1).zip,0Sen_Seed35_evaluated_Checkpoints/attacker_checkpoint_ep100.pth,34911797,34911797,True,46a7715e,9d8fb12df30029a7c5735b285c5ded914113c1684ae6f0cf5c91f735ead9c204,True,100,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.688616752624512
0sen,35,100,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed35\checkpoints_non_comp\attacker_scout\checkpoint_ep100.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed35\ep100\attacker_scout_checkpoint_ep100.pth,0Sen_Seed35_evaluated_Checkpoints(1).zip,0Sen_Seed35_evaluated_Checkpoints/attacker_scout_checkpoint_ep100.pth,34915957,34915957,True,e444d674,e042ee022ccfd2773a4df8d542fc0f803c00083d55ccdd26f72567e616ce1492,True,100,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.251652717590332
0sen,35,500,attacker,Frozen Senior plus CCTF simulation\0sen_seed35\checkpoints_non_comp\attacker\checkpoint_ep500.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed35\ep500\attacker_checkpoint_ep500.pth,0Sen_Seed35_evaluated_Checkpoints(1).zip,0Sen_Seed35_evaluated_Checkpoints/attacker_checkpoint_ep500.pth,34911797,34911797,True,f47d8686,8e1af179f2e4c4cc88a4055cd53fcfd45da0171f53f4fbccc8399808dded8e23,True,500,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.622104644775391
0sen,35,500,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed35\checkpoints_non_comp\attacker_scout\checkpoint_ep500.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed35\ep500\attacker_scout_checkpoint_ep500.pth,0Sen_Seed35_evaluated_Checkpoints(1).zip,0Sen_Seed35_evaluated_Checkpoints/attacker_scout_checkpoint_ep500.pth,34915957,34915957,True,ab4fdd86,4b01b9b421dd6ca13b7ab7b15827f1cb438768c9d1ef00556619927af81a1b61,True,500,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.870996952056885
0sen,35,1000,attacker,Frozen Senior plus CCTF simulation\0sen_seed35\checkpoints_non_comp\attacker\checkpoint_ep1000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed35\ep1000\attacker_checkpoint_ep1000.pth,0Sen_Seed35_evaluated_Checkpoints(1).zip,0Sen_Seed35_evaluated_Checkpoints/attacker_checkpoint_ep1000.pth,34911931,34911931,True,33a0e33b,8f5dd83af18e09f06566064fcc91b627fd8c9b9cfb61ec642b189aa01f4079e3,True,1000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.683836460113525
0sen,35,1000,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed35\checkpoints_non_comp\attacker_scout\checkpoint_ep1000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed35\ep1000\attacker_scout_checkpoint_ep1000.pth,0Sen_Seed35_evaluated_Checkpoints(1).zip,0Sen_Seed35_evaluated_Checkpoints/attacker_scout_checkpoint_ep1000.pth,34916091,34916091,True,502d51c8,48b765d8cd0396e950aebe4142b7b8cb7d45d574dc6b6c7e71491e9f6b89275f,True,1000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.763142108917236
0sen,35,2000,attacker,Frozen Senior plus CCTF simulation\0sen_seed35\checkpoints_non_comp\attacker\checkpoint_ep2000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed35\ep2000\attacker_checkpoint_ep2000.pth,0Sen_Seed35_evaluated_Checkpoints(1).zip,0Sen_Seed35_evaluated_Checkpoints/attacker_checkpoint_ep2000.pth,34911931,34911931,True,7e296b81,1501f3de9e812874eb3172036454398b17cf0759c83dca0b185a56d208d15b0b,True,2000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.210113048553467
0sen,35,2000,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed35\checkpoints_non_comp\attacker_scout\checkpoint_ep2000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed35\ep2000\attacker_scout_checkpoint_ep2000.pth,0Sen_Seed35_evaluated_Checkpoints(1).zip,0Sen_Seed35_evaluated_Checkpoints/attacker_scout_checkpoint_ep2000.pth,34916091,34916091,True,1ad87b3d,eafeb493a476e8c33e392c3583db5c54347a49336655780e0af98fd9c8caec27,True,2000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.264312744140625
0sen,35,5000,attacker,Frozen Senior plus CCTF simulation\0sen_seed35\checkpoints_non_comp\attacker\checkpoint_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed35\ep5000\attacker_checkpoint_ep5000.pth,0Sen_Seed35_evaluated_Checkpoints(1).zip,0Sen_Seed35_evaluated_Checkpoints/attacker_checkpoint_ep5000.pth,34911931,34911931,True,5ed6d0ce,9cd301bfc2e6d7bd637959206f04adf45c7fb37ea56d05d445043954fde0c3e9,True,5000,True,0.95,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,True,4.65023136138916
0sen,35,5000,attacker_scout,Frozen Senior plus CCTF simulation\0sen_seed35\checkpoints_non_comp\attacker_scout\checkpoint_ep5000.pth,senior_junior_results\checkpoints_used_for_eval\0sen\seed35\ep5000\attacker_scout_checkpoint_ep5000.pth,0Sen_Seed35_evaluated_Checkpoints(1).zip,0Sen_Seed35_evaluated_Checkpoints/attacker_scout_checkpoint_ep5000.pth,34916091,34916091,True,f20fe076,c659bf64150702eef6f21c850c1a81eee9178102f798d8d20e7330494fa00ec3,True,5000,True,0.95,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,True,4.5494890213012695
