condition,seed,checkpoint_episode,role,internal_episode_count,gamma,top_level_keys,model_state_keys,target_state_keys,architecture_signature,target_architecture_signature,parameter_tensor_elements,support_shape,scaler_mean_shape,scaler_scale_shape,optimizer_state_entries,optimizer_param_groups,max_model_target_abs_diff,loads_ok
0sen,35,100,attacker,100,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.688616752624512,True
0sen,35,100,attacker_scout,100,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.251652717590332,True
0sen,35,500,attacker,500,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.622104644775391,True
0sen,35,500,attacker_scout,500,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.870996952056885,True
0sen,35,1000,attacker,1000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.683836460113525,True
0sen,35,1000,attacker_scout,1000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.763142108917236,True
0sen,35,2000,attacker,2000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.210113048553467,True
0sen,35,2000,attacker_scout,2000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.264312744140625,True
0sen,35,5000,attacker,5000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.65023136138916,True
0sen,35,5000,attacker_scout,5000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.5494890213012695,True
0sen,36,100,attacker,100,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,5.116300106048584,True
0sen,36,100,attacker_scout,100,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.721487045288086,True
0sen,36,500,attacker,500,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,5.09067440032959,True
0sen,36,500,attacker_scout,500,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.5623779296875,True
0sen,36,1000,attacker,1000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,5.256244659423828,True
0sen,36,1000,attacker_scout,1000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.728011608123779,True
0sen,36,2000,attacker,2000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,5.514455795288086,True
0sen,36,2000,attacker_scout,2000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.911136627197266,True
0sen,36,5000,attacker,5000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,68e13e2de3dbf25d4c694b9687664b641b3de69ac415911c25f2ed8aa35cb969,2596458,"(51,)","(567,)","(567,)",22,1,4.545470237731934,True
0sen,36,5000,attacker_scout,5000,0.95,model_state_dict|target_model_state_dict|optimizer_state_dict|gamma|episode_count|scaler_mean|scaler_scale,31,31,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,e01efece43ce32284707e12e5a4cbf956efa375ec86b97f025de36659937003f,2596714,"(51,)","(569,)","(569,)",22,1,4.943804740905762,True
